Species,Class,Animal,State,Year Assessed
Partulina montagui ,Gastropoda,Snail,Hawaii,1996
Perdicella fulgurans,Gastropoda,Snail,Hawaii,1996
Perdicella zebrina,Gastropoda,Snail,Hawaii,1996
Cottus echinatus,Actinopterygii,Fish,Utah,2011
Physella microstriata,Gastropoda,Snail,Utah,2000
Neoplanorbis tantillus,Gastropoda,Snail,Alabama,2012
Hygrotus artus,Insecta,Beetle,California,1996
Hypena plagiota,Insecta,Moth,Hawaii,1996
Amphigyra alabamensis,Gastropoda,Snail,Alabama,2000
Leptoxis showalterii,Gastropoda,Snail,Alabama,2000
Leptoxis vittata,Gastropoda,Snail,Alabama,2000
Rhyncogonus bryani,Insecta,Beetle,Hawaii,2014
Carelia evelynae,Gastropoda,Snail,Hawaii,1996
Carelia glossema,Gastropoda,Snail,Hawaii,1996
Somatogyrus alcoviensis,Gastropoda,Snail,Georgia,2000
Elimia gibbera,Gastropoda,Snail,Alabama,2000
Elimia laeta,Gastropoda,Snail,Alabama,2000
Epioblasma turgidula,Bivalvia,Mussel,Tennessee,2000
Genophantis leahi,Insecta,Moth,Hawaii,1996
Achatinella caesia,Gastropoda,Snail,Hawaii,1996
Achatinella elegans,Gastropoda,Snail,Hawaii,1996
Achatinella spaldingi,Gastropoda,Snail,Hawaii,1996
Amastra forbesi ,Gastropoda,Snail,Hawaii,1996
Somatogyrus amnicoloides ,Gastropoda,Snail,Arkansas,2000
Somatogyrus wheeleri,Gastropoda,Snail,Arkansas,2000
Stonemyia velutina,Insecta,Horsefly,California,1996
Clappia cahabensis,Gastropoda,Snail,Alabama,2000
Neomonachus tropicalis,Mammalia,Seal,Florida/US Territories ,2014
Procambarus angustatus,Malacostraca,Crayfish,Georgia,2010
Notropis orca,Actinopterygii,Fish,Texas,2018
Moho bishopi ,Aves,Bird,Hawaii,2023
Rhodacanthis palmeri,Aves,Bird,Hawaii,2023
Rhodacanthis flaviceps,Aves,Bird,Hawaii,2023
Chloridops kona,Aves,Bird,Hawaii,2023
Dysmorodrepanis munroi,Aves,Bird,Hawaii,2023
Paroreomyza flammea,Aves,Bird,Hawaii,2023
Myadestes woahensis,Aves,Bird,Hawaii,2023
Plethodon ainsworthi,Amphibia,Salamander,Mississippi,2021
Hemignathus lucidus,Aves,Bird,Hawaii,2020
Melamprosops phaeosoma,Aves,Bird,Hawaii,2019
Hypena laysanensis,Insecta,Moth,Hawaii,1996
Lottia alveus ,Gastropoda,Snail,Maine,1996
Lyropupa perlonga,Gastropoda,Snail,Hawaii,1996
Etheostoma sellare,Actinopterygii,Fish,Maryland,2012
Cyprinodon arcuatus,Actinopterygii,Fish,Arizona,2011
Gambusia georgei,Actinopterygii,Fish,Texas,2012
Pleurobema verum,Bivalvia,Mussel,Alabama,2000
Perdicella maniensis,Gastropoda,Snail,Hawaii,1996
Salvelinus agassizii,Actinopterygii,Fish,Conneticut,1996
Somatogyrus crassilabris,Gastropoda,Snail,Arkansas,2011
Tritocleis microphylla,Insecta,Moth,Hawaii,1996
Carelia cumingiana,Gastropoda,Snail,Hawaii,1996
Carelia lymani,Gastropoda,Snail,Hawaii,1996
Carelia kalalauensis,Gastropoda,Snail,Hawaii,1996
Carelia paradoxa,Gastropoda,Snail,Hawaii,1996
Helicoverpa minuta,Insecta,Moth,Hawaii,1996
Achatinella dimorpha,Gastropoda,Snail,Hawaii,1996
Achatinella livida,Gastropoda,Snail,Hawaii,1996
Amastra pellucida,Gastropoda,Snail,Hawaii,1996
Marstonia olivacea,Gastropoda,Snail,Alabama,2011
Clavicoccus erinaceus,Insecta,Mealybug,Hawaii,1996
Collisella edmitchelli,Gastropoda,Snail,Califorina,1996
Conozoa hyalina,Insecta,Grasshopper,Califorina,1996
Elimia brevis,Gastropoda,Snail,Alabama,2000
Elimia vanuxemiana,Gastropoda,Snail,Alabama,2000
Elimia impressa,Gastropoda,Snail,Alabama,2000
Epioblasma arcaeformis,Bivalvia,Mussel,Kentucky,2000
Epioblasma lenior ,Bivalvia,Mussel,Tennessee,2000
Epioblasma propinqua,Bivalvia,Mussel,Illinois,2011
Gyrotoma pumila,Gastropoda,Snail,Alabama,2000
Trigonoscuta rossi,Insecta,Beetle,Califorina,2014
Neoplanorbis umbilicatus,Gastropoda,Snail,Alabama,2000
Newcombia philippiana,Gastropoda,Snail,Hawaii,1996
Hydrodamalis gigas,Mammalia,Sea Cow,Califorina,2016
Galba vancouverensis,Gastropoda,Snail,Washington,2015
Viridonia sagittirostris,Aves,Bird,Hawaii,2023
Akialoa obscura,Aves,Bird,Hawaii,2023
Psittirostra psittacea,Aves,Bird,Hawaii,2024
Argyresthia castaneella,Insecta,Moth,New Hampshire,1996
Zimmermannia phleophaga,Insecta,Moth,Virgina,1996
Loxops ochraceus,Aves,Bird,Hawaii,2024
Campsicnemus mirabilis,Insecta,Fly,Hawaii,2025
Loxops wolstenholmei,Aves,Bird,Hawaii,2023
Akialoa ellisiana,Aves,Bird,Hawaii,2023
Scotorythra nesiotes,Insecta,Moth,Hawaii,1996
Coptotriche perplexa,Insecta,Moth,Arizona,1996
Auriculella uniplicata,Gastropoda,Snail,Hawaii,1996
